month,trade,seasonal_index,base_unpaid_hours,modeled_unpaid_scope_hours,assumed_rate_usd,rate_source,modeled_creep_loss_usd,late_pay_factor,late_pay_factor_source,modeled_late_pay_drag_usd,modeled_total_leak_usd,formula
2025-11,ui_ux,1.15,3.59,4.1,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",492,0.11,modeled_prior_not_a_survey,54,546,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-12,ui_ux,0.9,3.59,3.2,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",384,0.11,modeled_prior_not_a_survey,42,426,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-01,ui_ux,0.85,3.59,3.1,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",372,0.11,modeled_prior_not_a_survey,41,413,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-02,ui_ux,0.95,3.59,3.4,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",408,0.11,modeled_prior_not_a_survey,45,453,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-03,ui_ux,1.0,3.59,3.6,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",432,0.11,modeled_prior_not_a_survey,48,480,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-04,ui_ux,1.0,3.59,3.6,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",432,0.11,modeled_prior_not_a_survey,48,480,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-05,ui_ux,1.05,3.59,3.8,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",456,0.11,modeled_prior_not_a_survey,50,506,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-06,ui_ux,1.0,3.59,3.6,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",432,0.11,modeled_prior_not_a_survey,48,480,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-07,ui_ux,1.05,3.59,3.8,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",456,0.11,modeled_prior_not_a_survey,50,506,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-08,ui_ux,0.9,3.59,3.2,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",384,0.11,modeled_prior_not_a_survey,42,426,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-09,social_mgmt,1.05,3.05,3.2,85,"WhatShouldICharge 2026 median, Social Media Managers $85/hr",272,0.19,modeled_prior_not_a_survey,52,324,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-10,social_mgmt,1.1,3.05,3.4,85,"WhatShouldICharge 2026 median, Social Media Managers $85/hr",289,0.19,modeled_prior_not_a_survey,55,344,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-11,social_mgmt,1.15,3.05,3.5,85,"WhatShouldICharge 2026 median, Social Media Managers $85/hr",298,0.19,modeled_prior_not_a_survey,57,355,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-12,social_mgmt,0.9,3.05,2.7,85,"WhatShouldICharge 2026 median, Social Media Managers $85/hr",230,0.19,modeled_prior_not_a_survey,44,274,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-01,social_mgmt,0.85,3.05,2.6,85,"WhatShouldICharge 2026 median, Social Media Managers $85/hr",221,0.19,modeled_prior_not_a_survey,42,263,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-02,social_mgmt,0.95,3.05,2.9,85,"WhatShouldICharge 2026 median, Social Media Managers $85/hr",246,0.19,modeled_prior_not_a_survey,47,293,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-03,social_mgmt,1.0,3.05,3.0,85,"WhatShouldICharge 2026 median, Social Media Managers $85/hr",255,0.19,modeled_prior_not_a_survey,48,303,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-04,social_mgmt,1.0,3.05,3.0,85,"WhatShouldICharge 2026 median, Social Media Managers $85/hr",255,0.19,modeled_prior_not_a_survey,48,303,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-05,social_mgmt,1.05,3.05,3.2,85,"WhatShouldICharge 2026 median, Social Media Managers $85/hr",272,0.19,modeled_prior_not_a_survey,52,324,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-06,social_mgmt,1.0,3.05,3.0,85,"WhatShouldICharge 2026 median, Social Media Managers $85/hr",255,0.19,modeled_prior_not_a_survey,48,303,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-07,social_mgmt,1.05,3.05,3.2,85,"WhatShouldICharge 2026 median, Social Media Managers $85/hr",272,0.19,modeled_prior_not_a_survey,52,324,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-08,social_mgmt,0.9,3.05,2.7,85,"WhatShouldICharge 2026 median, Social Media Managers $85/hr",230,0.19,modeled_prior_not_a_survey,44,274,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-09,illustration,1.05,3.0,3.2,100,"WhatShouldICharge 2026 median, Illustrators $100/hr",320,0.13,modeled_prior_not_a_survey,42,362,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-10,illustration,1.1,3.0,3.3,100,"WhatShouldICharge 2026 median, Illustrators $100/hr",330,0.13,modeled_prior_not_a_survey,43,373,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-11,illustration,1.15,3.0,3.4,100,"WhatShouldICharge 2026 median, Illustrators $100/hr",340,0.13,modeled_prior_not_a_survey,44,384,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-12,illustration,0.9,3.0,2.7,100,"WhatShouldICharge 2026 median, Illustrators $100/hr",270,0.13,modeled_prior_not_a_survey,35,305,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-01,illustration,0.85,3.0,2.5,100,"WhatShouldICharge 2026 median, Illustrators $100/hr",250,0.13,modeled_prior_not_a_survey,32,282,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-02,illustration,0.95,3.0,2.8,100,"WhatShouldICharge 2026 median, Illustrators $100/hr",280,0.13,modeled_prior_not_a_survey,36,316,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-03,illustration,1.0,3.0,3.0,100,"WhatShouldICharge 2026 median, Illustrators $100/hr",300,0.13,modeled_prior_not_a_survey,39,339,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-04,illustration,1.0,3.0,3.0,100,"WhatShouldICharge 2026 median, Illustrators $100/hr",300,0.13,modeled_prior_not_a_survey,39,339,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-05,illustration,1.05,3.0,3.2,100,"WhatShouldICharge 2026 median, Illustrators $100/hr",320,0.13,modeled_prior_not_a_survey,42,362,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-06,illustration,1.0,3.0,3.0,100,"WhatShouldICharge 2026 median, Illustrators $100/hr",300,0.13,modeled_prior_not_a_survey,39,339,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-07,illustration,1.05,3.0,3.2,100,"WhatShouldICharge 2026 median, Illustrators $100/hr",320,0.13,modeled_prior_not_a_survey,42,362,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-08,illustration,0.9,3.0,2.7,100,"WhatShouldICharge 2026 median, Illustrators $100/hr",270,0.13,modeled_prior_not_a_survey,35,305,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-09,webflow,1.05,3.75,3.9,100,"WhatShouldICharge 2026 median, Webflow Developers $100/hr",390,0.12,modeled_prior_not_a_survey,47,437,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-10,webflow,1.1,3.75,4.1,100,"WhatShouldICharge 2026 median, Webflow Developers $100/hr",410,0.12,modeled_prior_not_a_survey,49,459,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-11,webflow,1.15,3.75,4.3,100,"WhatShouldICharge 2026 median, Webflow Developers $100/hr",430,0.12,modeled_prior_not_a_survey,52,482,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-12,webflow,0.9,3.75,3.4,100,"WhatShouldICharge 2026 median, Webflow Developers $100/hr",340,0.12,modeled_prior_not_a_survey,41,381,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-01,webflow,0.85,3.75,3.2,100,"WhatShouldICharge 2026 median, Webflow Developers $100/hr",320,0.12,modeled_prior_not_a_survey,38,358,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-02,webflow,0.95,3.75,3.6,100,"WhatShouldICharge 2026 median, Webflow Developers $100/hr",360,0.12,modeled_prior_not_a_survey,43,403,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-03,webflow,1.0,3.75,3.8,100,"WhatShouldICharge 2026 median, Webflow Developers $100/hr",380,0.12,modeled_prior_not_a_survey,46,426,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-04,webflow,1.0,3.75,3.8,100,"WhatShouldICharge 2026 median, Webflow Developers $100/hr",380,0.12,modeled_prior_not_a_survey,46,426,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-05,webflow,1.05,3.75,3.9,100,"WhatShouldICharge 2026 median, Webflow Developers $100/hr",390,0.12,modeled_prior_not_a_survey,47,437,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-06,webflow,1.0,3.75,3.8,100,"WhatShouldICharge 2026 median, Webflow Developers $100/hr",380,0.12,modeled_prior_not_a_survey,46,426,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-07,webflow,1.05,3.75,3.9,100,"WhatShouldICharge 2026 median, Webflow Developers $100/hr",390,0.12,modeled_prior_not_a_survey,47,437,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-08,webflow,0.9,3.75,3.4,100,"WhatShouldICharge 2026 median, Webflow Developers $100/hr",340,0.12,modeled_prior_not_a_survey,41,381,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
